x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,Grade
0.75,1.0,0.66666666666666663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09375,0.31755965103918921,1.0,1.0,1.0,0.086897179253867154,b
0.75,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1875,0.32432432432432434,1.0,1.0,0.0,0.16272368820139521,b
0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10416666666666667,0.36486486486486486,1.0,1.0,0.0,0.17182286927509857,b
0.5,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.083333333333333329,0.29729729729729731,1.0,1.0,1.0,0.3851986654534425,b
0.5,1.0,0.16666666666666666,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.10416666666666667,0.45945945945945948,1.0,1.0,1.0,0.15089475280558082,a
0.5,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.25675675675675674,1.0,1.0,0.0,0.019259933272672128,b
0.5,0.0,0.33333333333333331,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.10416666666666667,0.36486486486486486,1.0,1.0,1.0,0.3002729754322111,a
0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.39189189189189189,1.0,1.0,0.0,0.27494692144373672,c
0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1575,0.25675675675675674,0.0,1.0,1.0,0.060964513193812554,c
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1225,0.3108108108108108,1.0,1.0,0.0,0.12117076129814984,b
0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.11092009395083333,0.1891891891891892,1.0,1.0,0.0,0.043827722171671218,b
0.5,0.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.096666666666666665,0.17567567567567569,1.0,1.0,0.0,0.24764937822262664,b
0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.083333333333333329,0.14864864864864866,0.0,1.0,0.0,0.030330603579011222,c
0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09375,0.25675675675675674,1.0,1.0,0.0,0.0074309978768577496,a
0.5,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1125,0.32432432432432434,1.0,1.0,1.0,0.19714892326357294,c
0.75,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11458333333333333,0.39189189189189189,1.0,1.0,1.0,0.28632089778586595,c
0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.1891891891891892,1.0,0.0,1.0,0.12359720958447074,a
0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10416666666666667,0.25675675675675674,1.0,1.0,0.0,0.081286017591750082,b
0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10416666666666667,0.14864864864864866,1.0,1.0,0.0,0.11434637549287231,b
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13125000000000001,0.52702702702702697,1.0,1.0,1.0,0.43964209887776767,b
0.5,1.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.14583333333333334,0.33783783783783783,0.0,1.0,1.0,1.0,b
0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.39189189189189189,1.0,1.0,0.0,0.40157719138610859,b
0.25,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.097916666666666666,0.41891891891891891,1.0,1.0,0.0,0.0074309978768577496,b
0.5,0.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.39189189189189189,1.0,1.0,0.0,0.039581437670609648,b
0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.10000000000000001,0.33783783783783783,1.0,0.0,1.0,0.072035183500151659,b
0.75,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.54000000000000004,0.39189189189189189,1.0,1.0,1.0,0.47937518956627234,b
0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.39189189189189189,1.0,1.0,0.0,0.33970276008492567,b
0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10416666666666667,0.32432432432432434,1.0,1.0,0.0,0.27494692144373672,a
0.75,1.0,0.33333333333333331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,0.52702702702702697,1.0,1.0,1.0,0.47027600849256901,b
0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.020833333333333332,0.52702702702702697,1.0,1.0,1.0,0.52957233848953589,c
0.25,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.087499999999999994,0.1891891891891892,1.0,1.0,0.0,0.19249571832575069,c
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.037499999999999999,0.25675675675675674,1.0,1.0,0.0,0.37443130118289353,a
0.75,1.0,0.16666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.20000000000000001,0.20270270270270271,1.0,1.0,1.0,0.19249571832575069,b
0.25,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.074999999999999997,0.32432432432432434,1.0,0.0,1.0,0.16863815589930239,b
0.75,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10416666666666667,0.32432432432432434,1.0,1.0,0.0,0.062026084319077947,a
0.5,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.25675675675675674,1.0,1.0,1.0,0.19249571832575069,a
0.5,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13125000000000001,0.32432432432432434,1.0,1.0,0.0,0.12117076129814984,b
0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1125,0.32432432432432434,1.0,1.0,0.0,0.21625720351835001,b
0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09375,0.32432432432432434,1.0,1.0,0.0,0.026690931149529876,a
0.5,0.0,0.16666666666666666,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0.3783783783783784,1.0,1.0,0.0,0.14846830451925994,b
0.5,0.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.09375,0.39189189189189189,1.0,1.0,0.0,0.17440097057931453,c
0.75,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11458333333333333,0.48648648648648651,1.0,1.0,1.0,0.52957233848953589,b
0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.10416666666666667,0.39189189189189189,1.0,1.0,0.0,0.4212920837124659,a
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09375,0.32432432432432434,0.0,0.0,0.0,0.1461935092508341,b
0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.09375,0.32432432432432434,1.0,1.0,0.0,0.026690931149529876,b
0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.12083333333333333,0.14864864864864866,1.0,1.0,0.0,0.12572035183500152,b
