x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,Grade
0.75,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26785714285714285,0.32432432432432434,1.0,1.0,0.0,0.16272368820139521,a
0.5,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11904761904761904,0.29729729729729731,1.0,1.0,1.0,0.3851986654534425,c
0.5,1.0,0.16666666666666666,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.14880952380952381,0.45945945945945948,1.0,1.0,1.0,0.15089475280558082,a
0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17857142857142858,0.39189189189189189,1.0,1.0,0.0,0.27494692144373672,c
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.17499999999999999,0.3108108108108108,1.0,1.0,0.0,0.12117076129814984,c
0.5,0.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1380952380952381,0.17567567567567569,1.0,1.0,0.0,0.24764937822262664,b
0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13392857142857142,0.25675675675675674,1.0,1.0,0.0,0.0074309978768577496,a
0.5,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16071428571428573,0.32432432432432434,1.0,1.0,1.0,0.19714892326357294,c
0.75,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16369047619047619,0.39189189189189189,1.0,1.0,1.0,0.28632089778586595,c
0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13392857142857142,0.1891891891891892,1.0,0.0,1.0,0.12359720958447074,a
0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14880952380952381,0.25675675675675674,1.0,1.0,0.0,0.081286017591750082,b
0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.14880952380952381,0.14864864864864866,1.0,1.0,0.0,0.11434637549287231,b
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1875,0.52702702702702697,1.0,1.0,1.0,0.43964209887776767,b
0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13392857142857142,0.39189189189189189,1.0,1.0,0.0,0.40157719138610859,b
0.25,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.13988095238095238,0.41891891891891891,1.0,1.0,0.0,0.0074309978768577496,b
0.5,0.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.39189189189189189,1.0,1.0,0.0,0.039581437670609648,c
0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.33783783783783783,1.0,0.0,1.0,0.072035183500151659,b
0.75,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.77142857142857146,0.39189189189189189,1.0,1.0,1.0,0.47937518956627234,a
0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17857142857142858,0.39189189189189189,1.0,1.0,0.0,0.33970276008492567,b
0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14880952380952381,0.32432432432432434,1.0,1.0,0.0,0.27494692144373672,a
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.053571428571428568,0.25675675675675674,1.0,1.0,0.0,0.37443130118289353,a
0.25,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10714285714285714,0.32432432432432434,1.0,0.0,1.0,0.16863815589930239,b
0.75,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14880952380952381,0.32432432432432434,1.0,1.0,0.0,0.062026084319077947,a
0.5,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1875,0.32432432432432434,1.0,1.0,0.0,0.12117076129814984,b
0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16071428571428573,0.32432432432432434,1.0,1.0,0.0,0.21625720351835001,b
0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13392857142857142,0.32432432432432434,1.0,1.0,0.0,0.026690931149529876,a
0.5,0.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.13392857142857142,0.39189189189189189,1.0,1.0,0.0,0.17440097057931453,c
0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.14880952380952381,0.39189189189189189,1.0,1.0,0.0,0.4212920837124659,a
0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.13392857142857142,0.32432432432432434,1.0,1.0,0.0,0.026690931149529876,c
0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.17261904761904762,0.14864864864864866,1.0,1.0,0.0,0.12572035183500152,b
0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13392857142857142,0.067567567567567571,1.0,1.0,0.0,0.27252047315741584,b
0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11904761904761904,0.17567567567567569,1.0,1.0,1.0,0.3851986654534425,b
0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27380952380952384,0.35135135135135137,1.0,1.0,0.0,0.14968152866242038,a
0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1380952380952381,0.32432432432432434,1.0,1.0,0.0,0.39581437670609643,a
0.75,0.0,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.041666666666666664,0.32432432432432434,1.0,1.0,0.0,0.15180467091295116,c
0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.16369047619047619,0.32432432432432434,1.0,1.0,0.0,0.28814073400060664,a
0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13392857142857142,0.32432432432432434,1.0,1.0,1.0,0.14346375492872307,b
0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16071428571428573,0.28378378378378377,1.0,1.0,0.0,0.014558689717925387,b
0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13392857142857142,0.32432432432432434,1.0,1.0,0.0,0.19335759781619655,b
0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.023809523809523808,0.16216216216216217,1.0,1.0,0.0,0.19411586290567182,c
0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.12202380952380952,0.32432432432432434,1.0,1.0,1.0,0.086897179253867154,b
0.75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.17857142857142858,0.52702702702702697,0.0,1.0,1.0,0.46072186836518048,b
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13392857142857142,0.22972972972972974,1.0,0.0,1.0,0.16863815589930239,c
0.75,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02976190476190476,0.25675675675675674,1.0,1.0,1.0,0.24613284804367608,c
0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11904761904761904,0.25675675675675674,1.0,1.0,0.0,0.23961176827418865,a
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.21621621621621623,1.0,0.0,1.0,0.072035183500151659,a
0.75,0.0,0.16666666666666666,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.02976190476190476,0.25675675675675674,1.0,1.0,0.0,0.1164695177434031,a
0.5,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.26785714285714285,0.20270270270270271,1.0,1.0,0.0,0.44040036396724297,b
0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.17857142857142858,0.39189189189189189,1.0,1.0,1.0,0.47937518956627234,a
0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.17857142857142858,0.32432432432432434,1.0,1.0,1.0,0.17834394904458598,c
0.75,0.0,0.16666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16071428571428573,0.32432432432432434,1.0,1.0,0.0,0.21064604185623295,c
